[57] 휴젤 | Score: 64.39 | Upside: 55.1% | PBR: 2.63 | ROE: 16.39% | Leader: True
[58] 와이지엔터테인먼트 | Score: 64.31 | Upside: 64.1% | PBR: 1.66 | ROE: 7.31% | Leader: True
[59] GKL | Score: 63.83 | Upside: 35.3% | PBR: 1.72 | ROE: 10.83% | Leader: True
[60] 고려아연 | Score: 63.39 | Upside: 58.5% | PBR: 2.18 | ROE: 10.39% | Leader: True
[61] 모두투어 | Score: 62.77 | Upside: 52.7% | PBR: 1.81 | ROE: 14.77% | Leader: True
[62] 온코닉테라퓨틱스 | Score: 62.48 | Upside: 91.0% | PBR: 8.87 | ROE: 29.48% | Leader: False
[63] RFHIC | Score: 62.39 | Upside: 72.2% | PBR: 5.41 | ROE: 9.39% | Leader: True
[64] SK | Score: 62.29 | Upside: 30.2% | PBR: 1.1 | ROE: 9.29% | Leader: True
[65] 티앤엘 | Score: 61.98 | Upside: 45.2% | PBR: 2.27 | ROE: 19.98% | Leader: False
[66] 에스엘 | Score: 61.92 | Upside: 35.9% | PBR: 1.21 | ROE: 13.92% | Leader: True
[67] 에스엠 | Score: 61.78 | Upside: 54.0% | PBR: 1.91 | ROE: 13.78% | Leader: True
[68] 노바렉스 | Score: 61.74 | Upside: 79.6% | PBR: 0.99 | ROE: 17.74% | Leader: True
[69] 미래에셋증권 | Score: 61.73 | Upside: 48.7% | PBR: 2.3 | ROE: 8.73% | Leader: True
[70] 현대글로비스 | Score: 61.34 | Upside: 55.6% | PBR: 1.51 | ROE: 17.34% | Leader: True
[71] 한국금융지주 | Score: 60.86 | Upside: 43.3% | PBR: 1.1 | ROE: 21.86% | Leader: True
[72] RF머트리얼즈 | Score: 60.73 | Upside: 123.5% | PBR: 9.98 | ROE: 18.73% | Leader: False
[73] 하이록코리아 | Score: 60.25 | Upside: 54.5% | PBR: 0.88 | ROE: 12.25% | Leader: True
[74] 이녹스첨단소재 | Score: 59.98 | Upside: 55.7% | PBR: 1.31 | ROE: 11.98% | Leader: True
[75] LS에코에너지 | Score: 59.67 | Upside: 32.7% | PBR: 8.15 | ROE: 20.67% | Leader: True
[76] HD한국조선해양 | Score: 59.2 | Upside: 49.0% | PBR: 2.08 | ROE: 20.2% | Leader: True
[77] 디지털대성 | Score: 59.07 | Upside: 45.8% | PBR: 1.58 | ROE: 20.07% | Leader: True
[78] 오리온 | Score: 58.85 | Upside: 32.0% | PBR: 1.37 | ROE: 10.85% | Leader: True
[79] 코리안리 | Score: 58.76 | Upside: 20.3% | PBR: 0.63 | ROE: 10.76% | Leader: True
[80] 한솔케미칼 | Score: 58.54 | Upside: 36.1% | PBR: 2.79 | ROE: 14.54% | Leader: True
[81] S-Oil | Score: 58.35 | Upside: 29.4% | PBR: 1.36 | ROE: 10.35% | Leader: True
[82] 제일기획 | Score: 58.28 | Upside: 24.3% | PBR: 1.36 | ROE: 14.28% | Leader: True
[83] 네오팜 | Score: 58.12 | Upside: 45.9% | PBR: 1.39 | ROE: 16.12% | Leader: False
[84] 삼성E&A | Score: 57.69 | Upside: 39.5% | PBR: 1.94 | ROE: 13.69% | Leader: True
[85] 삼양엔씨켐 | Score: 56.45 | Upside: 68.1% | PBR: 3.05 | ROE: 14.45% | Leader: False
[86] KT밀리의서재 | Score: 55.52 | Upside: 69.2% | PBR: 1.06 | ROE: 20.52% | Leader: True
[87] 브이티 | Score: 55.41 | Upside: 59.2% | PBR: 1.71 | ROE: 22.41% | Leader: False
[88] HD현대에너지솔루션 | Score: 55.07 | Upside: 68.1% | PBR: 3.83 | ROE: 16.07% | Leader: True
[89] 이랜텍 | Score: 54.58 | Upside: 103.6% | PBR: 0.77 | ROE: 15.58% | Leader: True
[90] 씨에스윈드 | Score: 53.0 | Upside: 92.5% | PBR: 1.43 | ROE: -1.42% | Leader: True
[91] 아스테라시스 | Score: 52.29 | Upside: 89.4% | PBR: 6.37 | ROE: 19.29% | Leader: False
[92] 인텔리안테크 | Score: 52.28 | Upside: 72.6% | PBR: 3.83 | ROE: 13.28% | Leader: True
[93] HD건설기계 | Score: 51.66 | Upside: 63.9% | PBR: 1.45 | ROE: 7.66% | Leader: True
[94] JB금융지주 | Score: 51.37 | Upside: 41.2% | PBR: 0.84 | ROE: 12.37% | Leader: True
[95] 미스토홀딩스 | Score: 50.6 | Upside: 36.7% | PBR: 1.12 | ROE: 11.6% | Leader: True
[96] 이노션 | Score: 50.06 | Upside: 20.5% | PBR: 0.77 | ROE: 11.06% | Leader: True
[97] 한전기술 | Score: 49.65 | Upside: 37.5% | PBR: 9.78 | ROE: 5.65% | Leader: True
[98] 세진중공업 | Score: 48.76 | Upside: 90.6% | PBR: 3.65 | ROE: 24.76% | Leader: False
[99] 펌텍코리아 | Score: 47.81 | Upside: 42.0% | PBR: 1.52 | ROE: 12.81% | Leader: True
[100] 키움증권 | Score: 45.51 | Upside: 54.3% | PBR: 1.38 | ROE: 21.51% | Leader: False
[101] 엠씨넥스 | Score: 42.14 | Upside: 52.5% | PBR: 0.88 | ROE: 12.14% | Leader: True
[102] 웹케시 | Score: 42.04 | Upside: 97.0% | PBR: 0.74 | ROE: 12.04% | Leader: True
[103] 한국카본 | Score: 41.85 | Upside: 80.3% | PBR: 2.7 | ROE: 17.85% | Leader: False
[104] 티씨케이 | Score: 38.57 | Upside: 27.2% | PBR: 6.14 | ROE: 14.57% | Leader: False
[105] ISC | Score: 37.23 | Upside: 26.1% | PBR: 8.68 | ROE: 13.23% | Leader: False
[106] 대우건설 | Score: 30.0 | Upside: 58.4% | PBR: 2.5 | ROE: -19.5% | Leader: True
[107] 씨엠티엑스 | Score: 24.0 | Upside: 69.1% | PBR: 5.9 | ROE: -19.84% | Leader: False
